timestamp,market_ticker,category,best_bid,best_ask,mid_price,micro_price,spread,imbalance,bid_count,ask_count,best_bid_size,best_ask_size,is_crossed,bids,asks
2026-02-26T14:15:31.920669+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.83,0.48,,0.7,-0.012286196097325945,7,8,,,False,"[[13, 500], [12, 300], [11, 500], [5, 500], [3, 500], [2, 2000], [1, 8000]]","[[1, 8461], [2, 2000], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [17, 125]]"
2026-02-26T14:23:07.331209+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.83,0.48,,0.7,-0.009900990099009901,7,8,,,False,"[[13, 500], [12, 300], [11, 500], [5, 500], [3, 500], [2, 2000], [1, 11000]]","[[1, 11461], [2, 2000], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [17, 125]]"
2026-02-26T14:30:43.217007+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.83,0.48,,0.7,-0.009900990099009901,7,8,,,False,"[[13, 500], [12, 300], [11, 500], [5, 500], [3, 500], [2, 2000], [1, 11000]]","[[1, 11461], [2, 2000], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [17, 125]]"
2026-02-26T14:38:17.656007+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.83,0.48,,0.7,-0.008522252548320616,7,8,,,False,"[[13, 500], [12, 300], [11, 500], [5, 500], [3, 500], [2, 4500], [1, 11000]]","[[1, 11461], [2, 4500], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [17, 125]]"
2026-02-26T14:45:53.147633+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.83,0.48,,0.7,-0.008522252548320616,7,8,,,False,"[[13, 500], [12, 300], [11, 500], [5, 500], [3, 500], [2, 4500], [1, 11000]]","[[1, 11461], [2, 4500], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [17, 125]]"
2026-02-26T14:53:27.845846+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.83,0.48,,0.7,-0.008522252548320616,7,8,,,False,"[[13, 500], [12, 300], [11, 500], [5, 500], [3, 500], [2, 4500], [1, 11000]]","[[1, 11461], [2, 4500], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [17, 125]]"
2026-02-26T15:01:03.185833+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.83,0.48,,0.7,-0.008522252548320616,7,8,,,False,"[[13, 500], [12, 300], [11, 500], [5, 500], [3, 500], [2, 4500], [1, 11000]]","[[1, 11461], [2, 4500], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [17, 125]]"
2026-02-26T15:08:37.813606+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.26,0.195,,0.13,0.179520563682316,8,11,,,False,"[[13, 500], [12, 300], [11, 500], [7, 12000], [5, 500], [3, 500], [2, 5502], [1, 11000]]","[[1, 11461], [2, 5507], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [17, 125], [68, 2000], [73, -281], [74, 594]]"
2026-02-26T15:16:13.215096+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.26,0.195,,0.13,0.002342987308818744,8,10,,,False,"[[13, 500], [12, 300], [11, 500], [7, 12000], [5, 500], [3, 500], [2, 5502], [1, 11000]]","[[1, 11461], [2, 5507], [3, 500], [5, 500], [12, 500], [13, 500], [16, 20], [68, 2000], [73, 8951], [74, 719]]"
2026-02-26T15:23:47.831035+00:00,KXNBAGAME-26FEB28TORWAS-WAS,sports,0.13,0.24,0.185,,0.11,0.15521064301552107,9,12,,,False,"[[13, 500], [12, 300], [11, 500], [8, 624], [7, 12000], [5, 500], [3, 855], [2, 5502], [1, 11000]]","[[1, 11461], [2, 5507], [3, 500], [5, 500], [12, 500], [13, 500], [16, 609], [17, 468], [68, 2000], [74, 992], [75, 79], [76, 125]]"
