ticker,event_ticker,title,yes_sub_title,no_sub_title,status,result,market_type,open_time,close_time,expected_expiration_time,volume,open_interest,last_price,last_price_dollars,yes_bid,yes_ask,yes_bid_dollars,yes_ask_dollars,no_bid,no_ask,rules_primary,strike_type,subcategory,bet_type
KXNBAGAME-26FEB28TORWAS-WAS,KXNBAGAME-26FEB28TORWAS,Toronto at Washington Winner?,Washington,Washington,active,,binary,2026-02-26T14:06:00Z,2026-03-15T00:00:00Z,2026-03-01T03:00:00Z,3305552,2318478,25,0.2500,24,25,0.2400,0.2500,75,76,"If Washington wins the Toronto at Washington professional basketball game originally scheduled for Feb 28, 2026, then the market resolves to Yes.",structured,basketball,other
KXNBAGAME-26FEB28TORWAS-TOR,KXNBAGAME-26FEB28TORWAS,Toronto at Washington Winner?,Toronto,Toronto,active,,binary,2026-02-26T14:06:00Z,2026-03-15T00:00:00Z,2026-03-01T03:00:00Z,1881222,1605710,76,0.7600,75,76,0.7500,0.7600,24,25,"If Toronto wins the Toronto at Washington professional basketball game originally scheduled for Feb 28, 2026, then the market resolves to Yes.",structured,basketball,other
